iter	Passed	Remaining
0	1	106
1	3	159
2	4	131
3	4	109
4	5	95
5	5	84
6	5	76
7	6	70
8	6	65
9	6	61
10	7	57
11	7	55
12	7	53
13	8	51
14	8	49
15	9	47
16	9	46
17	9	44
18	11	47
19	12	49
20	12	48
21	13	47
22	13	45
23	14	45
24	17	52
25	18	52
26	19	52
27	20	51
28	20	50
29	21	49
30	21	47
31	21	46
32	22	45
33	22	44
34	23	43
35	23	42
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	27	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	30	31
49	33	33
50	34	32
51	34	32
52	35	31
53	35	30
54	36	29
55	36	28
56	37	27
57	37	27
58	37	26
59	38	25
60	38	24
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	43	20
68	44	19
69	45	19
70	46	18
71	47	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	50	12
80	51	12
81	51	11
82	52	10
83	53	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	60	6
90	60	6
91	61	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	63	1
98	64	0
99	64	0
